agency_id,route_id,route_long_name,route_short_name,route_type
DIMTS,142,828AUP,,3
DIMTS,10001,971DOWN,,3
DIMTS,362,961DOWN,,3
DIMTS,274,819DOWN,,3
DIMTS,10386,824STLDOWN2,,3
DIMTS,233,919UP,,3
DIMTS,10387,770ASTLDOWN2,,3
DIMTS,118,817NSTLDOWN,,3
DIMTS,10388,73ADOWN,,3
DIMTS,67,112STLUP,,3
DIMTS,1627,172AUP,,3
DIMTS,1047,113STLUP,,3
DIMTS,10389,123DWN,,3
DIMTS,10390,991ASTLUP,,3
DIMTS,1815,129DOWN,,3
DIMTS,10391,879ADOWN,,3
DIMTS,10392,260PMSLSTLUP,,3
DIMTS,1030,939STLDOWN,,3
DIMTS,1371,835LSTLUP,,3
DIMTS,295,413UP,,3
DIMTS,613,456UP,,3
DIMTS,8,847AUP,,3
DIMTS,1086,712UP,,3
DIMTS,1099,511ASTLUP,,3
DIMTS,189,174STLDOWN,,3
DIMTS,1419,174BSTLUP,,3
DIMTS,1365,961UP,,3
DIMTS,10393,136LNKSTLUP2,,3
DIMTS,10394,794ADOWN2,,3
DIMTS,1957,905STLUP,,3
DIMTS,1280,913DOWN,,3
DIMTS,2033,859AUP,,3
DIMTS,1140,719AUP,,3
DIMTS,10395,534EDOWN,,3
DIMTS,139,148AUP,,3
DIMTS,141,356LNKSTLUP,,3
DIMTS,1039,773UP,,3
DIMTS,2045,106DOWN,,3
DIMTS,202,858UP,,3
DIMTS,501,AIR-05STLUP,,3
DIMTS,883,753DOWN,,3
DIMTS,10004,425DOWN,,3
DIMTS,10396,717DOWN2,,3
DIMTS,1076,270DOWN,,3
DIMTS,10397,863UP2,,3
DIMTS,616,260DOWN,,3
DIMTS,702,743LSTLUP,,3
DIMTS,10398,136LNKSTLDWN2,,3
DIMTS,858,876+790DOWN,,3
DIMTS,812,847ADOWN,,3
DIMTS,10399,943DWN,,3
DIMTS,2093,119LSTLUP,,3
DIMTS,672,433LSTLUP,,3
DIMTS,1735,207UP,,3
DIMTS,10006,GL-91STLUP,,3
DIMTS,10400,CBD1+UP,,3
DIMTS,10401,102ASTLDOWN,,3
DIMTS,1386,784STLUP,,3
DIMTS,1837,836DOWN,,3
DIMTS,10402,729EDOWN2,,3
DIMTS,1741,826DOWN,,3
DIMTS,1300,143UP,,3
DIMTS,474,106UP,,3
DIMTS,1523,806STLDOWN,,3
DIMTS,10403,215STLDOWN2,,3
DIMTS,10404,833STLUP,,3
DIMTS,1473,978UP,,3
DIMTS,213,844DOWN,,3
DIMTS,1678,391STLUP,,3
DIMTS,960,763ADOWN,,3
DIMTS,18,144AUP,,3
DIMTS,1209,340STLDOWN,,3
DIMTS,1907,721DOWN,,3
DIMTS,1699,174DOWN,,3
DIMTS,10405,237ADOWN,,3
DIMTS,407,433LINKSTLDOWN,,3
DIMTS,799,717DOWN,,3
DIMTS,1478,193AUP,,3
DIMTS,517,822UP,,3
DIMTS,2150,806STLUP,,3
DIMTS,573,33LNKSTLUP,,3
DIMTS,1147,872DOWN,,3
DIMTS,10007,DW-5DOWN,,3
DIMTS,10406,715STLUP2,,3
DIMTS,1308,810DOWN,,3
DIMTS,920,978DOWN,,3
DIMTS,2007,729BUP,,3
DIMTS,687,578ADOWN,,3
DIMTS,1512,336AUP,,3
DIMTS,1846,141UP,,3
DIMTS,2101,850LTDUP,,3
DIMTS,1153,104UP,,3
DIMTS,717,413DOWN,,3
DIMTS,1964,792STLDOWN,,3
DIMTS,10011,S-1UP,,3
DIMTS,2103,972EXTUP,,3
DIMTS,49,120DOWN,,3
DIMTS,1516,205UP,,3
DIMTS,2083,956STLDOWN,,3
DIMTS,10407,775LINKSTLUP,,3
DIMTS,498,85EXTDOWN,,3
DIMTS,1966,CBD2(-)DOWN,,3
DIMTS,1252,107STLDOWN,,3
DIMTS,807,781DOWN,,3
DIMTS,10408,ML06STLUP,,3
DIMTS,1050,883UP,,3
DIMTS,10409,992ASTLDOWN,,3
DIMTS,10014,S-1STLDOWN,,3
DIMTS,534,221UP,,3
DIMTS,1250,578LSTLUP,,3
DIMTS,1375,926UP,,3
DIMTS,652,165UP,,3
DIMTS,499,120UP,,3
DIMTS,796,978STLUP,,3
DIMTS,1341,886DOWN,,3
DIMTS,1245,340STLUP,,3
